Use Case:,"As a user, I want to showcase my education and certifications",,,,,,,
,,,,7. Click on certifications,AZ400,,,
,,,,8. Click on Add New,micrsoft,,,
,,,,9. Enter Certification name,2020,,,
,,,,10. Enter Issuing Authority,,,,
,,,,11. Choose Year,,,,
,,,,12. Click Add,,,,
,,,,,,,,
,,TC_107: Add an existing certification detail,User logged in,1. Click on certifications,,"Prompt saying ""This information is already exist in list""",PASS,Expected prompt displayed
,,,,2. Click on Add New,,,,
,,,,3. Enter Certification name,AZ400,,,
,,,,4. Enter Issuing Authority,Microsoft,,,
,,,,5. Choose Year,2024,,,
,,,,6. Click Add,,,,
,,,,7. Click on certifications,AZ400,,,
,,,,8. Click on Add New,micrsoft,,,
,,,,9. Enter Certification name,2020,,,
,,,,10. Enter Issuing Authority,,,,
,,,,11. Choose Year,,,,
,,,,12. Click Add,,,,
,,,,,,,,
,,TC_108: Leave one or more field empty,User logged in,1. Click on certifications,,"Prompt saying "" Please enter Certification name, Certification from and Certification Year""",PASS,Expected prompt displayed
,,,,2. Click on Add New,AZ400,,,
,,,,3. Leave Certification name empty,,,,
,,,,4. Enter Issuing Authority,2024,,,
,,,,5. Choose Year,,,,
,,,,6. Click Add,,,,
